USER,BASIN,PRIORITY,WATER_RIGHT_TYPE,RIPARIAN,NULL_DEMAND,MAY_SEPT_ZERO_DEMAND,2021-05,2021-06,2021-07,2021-08,2021-09
A031304,L_14,429,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A031362,L_14,431,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A031501,L_24,433,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A031719,L_24,444,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A031737,L_27,446,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A031743,L_18_MSRR,450,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
C000028,L_27,291,Stockpond,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
C000511,L_21,312,Stockpond,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
C000512,L_21,313,Stockpond,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
C001166,L_28,320,Stockpond,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
C001216,L_23,321,Stockpond,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
C003979,L_17,395,Stockpond,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
C003981,L_16,397,Stockpond,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
D029507,L_16,382,Registration Domestic,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
D029831,L_16,424,Registration Domestic,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
D029862,L_15,394,Registration Domestic,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
D030095,L_15,399,Registration Domestic,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
D030353,L_18,407,Registration Domestic,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
D030460,L_21,410,Registration Domestic,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
