USER,BASIN,PRIORITY,WATER_RIGHT_TYPE,RIPARIAN,NULL_DEMAND,MAY_SEPT_ZERO_DEMAND,2021-05,2021-06,2021-07,2021-08,2021-09,2021-11
S016681,L_17_MSRR,10000000,Statement of Div and Use,Y,N,N,1.866666667,2.2,2.433333333,3.4,1.466666667,0.6
S014083,L_17_MSRR,10000000,Statement of Div and Use,Y,N,N,0.166666667,1.066666667,1.466666667,5.266666667,1.466666667,0.00099
S015459,L_17_MSRR,10000000,Statement of Div and Use,Y,N,N,2.836666667,4.103333333,5.19,3.603333333,1.51,0.233333333
S009291,L_17_MSRR,10000000,Statement of Div and Use,Y,N,N,1.03,1.626666667,2.523333333,2.096666667,1.54,0.213333333
S025343,L_17_MSRR,10000000,Statement of Div and Use,Y,N,N,0.316666667,0.29,0.866666667,0.76,1.93,0.00099
S015463,L_17_MSRR,10000000,Statement of Div and Use,Y,N,N,1.1,0.833333333,0.966666667,1.033333333,1.966666667,1.146666667
S025346,L_17_MSRR,10000000,Statement of Div and Use,Y,N,N,0.136666667,0.093333333,1.273333333,0.943333333,2.263333333,0.263333333
S022015,L_17_MSRR,10000000,Statement of Div and Use,Y,N,N,0.5,1.766666667,3.1,2.6,2.533333333,0.00099
S025345,L_17_MSRR,10000000,Statement of Div and Use,Y,N,N,0.443333333,1.393333333,2.903333333,1.846666667,2.563333333,0.033333333
S014084,L_17_MSRR,10000000,Statement of Div and Use,Y,N,N,0.566666667,2.233333333,6.2,6.133333333,2.866666667,0.00099
S017035,L_17_MSRR,10000000,Statement of Div and Use,Y,N,N,0.262520333,2.277572667,3.746872,3.096473,2.910281,0.366666667
S027969,L_17_MSRR,10000000,Statement of Div and Use,Y,N,N,1.209,2.219,3.865,1.7125,4.2,1.3
S009292,L_17_MSRR,10000000,Statement of Div and Use,Y,N,N,0.00099,0.193333333,0.236666667,0.43,8.323333333,0.00099
S019763,L_17_MSRR,10000000,Statement of Div and Use,Y,N,N,0.00099,4.473333333,11.64333333,16.16333333,15.15,0.55
S025890,L_18,10000000,Statement of Div and Use,Y,N,N,6.13E-05,0.00010217,0.000122837,0.000122837,6.13E-05,0.0000563
